"sep=;"
"Versión";"4";
"Idioma";"es-ES";
"Fecha de exportación local";"13.06.2022 08:18:34";
"Fecha de exportación UTC";"2022-06-13T06:18:34.805Z";
"Huso horario";"Europe/Madrid";
"Nombre de usuario";"mantenimiento@greeningingenieria.com";
"Nivel";"Equipo";
"Id. de la planta";"6294643";
"Nombre de la planta";"IFFCO";
"Id. del equipo";"6294652";
"Nombre del equipo";"Prima310A";
"Número de serie del equipo";"0";
"";"";
"Periodo";"Potencia toma [kW]";"Potencia de inyección a la red [W]"
"00:05";"41,6";"0"
"00:10";"44,15";"0"
"00:15";"41,87";"0"
"00:20";"41,46";"0"
"00:25";"41,3";"0"
"00:30";"40,84";"0"
"00:35";"42,93";"0"
"00:40";"44,11";"0"
"00:45";"43,95";"0"
"00:50";"43,53";"0"
"00:55";"41,43";"0"
"01:00";"39,82";"0"
"01:05";"40,95";"0"
"01:10";"40,17";"0"
"01:15";"39,96";"0"
"01:20";"40,25";"0"
"01:25";"40,69";"0"
"01:30";"41,26";"0"
"01:35";"40,43";"0"
"01:40";"41,1";"0"
"01:45";"42,1";"0"
"01:50";"41,29";"0"
"01:55";"41,17";"0"
"02:00";"41,48";"0"
"02:05";"42,58";"0"
"02:10";"40,74";"0"
"02:15";"39,84";"0"
"02:20";"42,07";"0"
"02:25";"44,13";"0"
"02:30";"39,82";"0"
"02:35";"39,33";"0"
"02:40";"39,51";"0"
"02:45";"40,18";"0"
"02:50";"40,92";"0"
"02:55";"39,96";"0"
"03:00";"39,69";"0"
"03:05";"39,66";"0"
"03:10";"39,82";"0"
"03:15";"39,45";"0"
"03:20";"39,38";"0"
"03:25";"40,36";"0"
"03:30";"39,83";"0"
"03:35";"39,33";"0"
"03:40";"39,7";"0"
"03:45";"39,49";"0"
"03:50";"39,49";"0"
"03:55";"27,4";"0"
"04:00";"38,89";"0"
"04:05";"33,45";"0"
"04:10";"34,89";"0"
"04:15";"49,25";"0"
"04:20";"41,44";"0"
"04:25";"47,85";"0"
"04:30";"51,63";"0"
"04:35";"39,06";"0"
"04:40";"53,72";"0"
"04:45";"48,28";"0"
"04:50";"42,81";"0"
"04:55";"51,52";"0"
"05:00";"43,66";"0"
"05:05";"46,98";"0"
"05:10";"51,23";"0"
"05:15";"39,21";"0"
"05:20";"50,96";"0"
"05:25";"48,92";"0"
"05:30";"41,54";"0"
"05:35";"51,53";"0"
"05:40";"44,73";"0"
"05:45";"47,96";"0"
"05:50";"54,33";"0"
"05:55";"41,8";"0"
"06:00";"53,19";"0"
"06:05";"55,5";"0"
"06:10";"48,7";"0"
"06:15";"56,87";"0"
"06:20";"46,98";"0"
"06:25";"43,19";"0"
"06:30";"51,73";"0"
"06:35";"39,27";"0"
"06:40";"46,91";"0"
"06:45";"44,73";"0"
"06:50";"42,28";"0"
"06:55";"82,46";"0"
"07:00";"57,48";"0"
"07:05";"57,07";"0"
"07:10";"59,35";"0"
"07:15";"51,6";"0"
"07:20";"67,24";"0"
"07:25";"57,93";"0"
"07:30";"59,9";"0"
"07:35";"66,9";"0"
"07:40";"58,26";"0"
"07:45";"58,27";"0"
"07:50";"51,59";"0"
"07:55";"51,53";"0"
"08:00";"58,51";"0"
"08:05";"45,73";"0"
"08:10";"54,41";"0"
"08:15";"46,26";"0"
"08:20";"34,82";"0"
"08:25";"45,03";"0"
"08:30";"28,62";"0"
"08:35";"27,23";"0"
"08:40";"34,52";"0"
"08:45";"41,81";"0"
"08:50";"30,06";"0"
"08:55";"26,87";"0"
"09:00";"35,94";"0"
"09:05";"21,24";"0"
"09:10";"21,19";"0"
"09:15";"33,45";"0"
"09:20";"21,03";"0"
