"sep=;"
"Versión";"4";;;;;
"Idioma";"es-ES";;;;;
"Fecha de exportación local";"23.06.2022 10:18:45";;;;;
"Fecha de exportación UTC";"2022-06-23T08:18:45.511Z";;;;;
"Huso horario";"Europe/Madrid";;;;;
"Nombre de usuario";"mantenimiento@greeningingenieria.com";;;;;
"Nivel";"Equipo";;;;;
"Id. de la planta";"2143162";;;;;
"Nombre de la planta";"PERSAN";;;;;
"Id. del equipo";"2143183";;;;;
"Nombre del equipo";"Fase 3_Inversor 8";;;;;
"Número de serie del equipo";"3005185024";;;;;
"";"";;;;;
"Grupo";"Nombre";"Valor";"Valor traducido";"Unidad";"Canal";"Acceso"
"Derechos de usuario";"Configurar contraseña de instalador";"****";"****";"";"Parameter.Acs.PwdIstl";"RW"
"Derechos de usuario";"Configurar contraseña de usuario";"****";"****";"";"Parameter.Acs.PwdUsr";"RW"
"Comunicación de la planta";"Protocolo de la interfaz RS485";"302";"'-------";"";"Parameter.CmpMdul.RS485Mod";"RW"
"Comunicación de la planta";"Protocolo de la interfaz RS485";"302";"'-------";"";"Parameter.CmpMdul2.RS485Mod";"RW"
"Equipo";"Idioma de la interfaz";"778";"English";"";"Parameter.CntrySettings.Lang";"RW"
"Equipo";"Test de ventilador";"303";"OFF";"";"Parameter.Coolsys.FanTst";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[0]";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[1]";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[2]";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[3]";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[4]";"RW"
"Lado de CC";"Valor nominal tensión constante";"950";"950";"V";"Parameter.DcCfg.ConstVolCtl.Vset[5]";"RW"
"Lado de CC";"Intervalo de tiempo SMA ShadeFix";"360";"360";"s";"Parameter.DcCfg.MPPShdw.CycTms";"RW"
"Lado de CC";"SMA ShadeFix";"1129";"Sí";"";"Parameter.DcCfg.MPPShdw.IsOn";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[0]";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[1]";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[2]";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[3]";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[4]";"RW"
"Lado de CC";"Límite de tensión para terminar la inyección";"150";"150";"V";"Parameter.DcCfg.StopVol[5]";"RW"
"Lado de CC";"Retardo de arranque entrada ";"1";"1";"s";"Parameter.DcCfg.StrTms[0]";"RW"
"Lado de CC";"Retardo de arranque entrada ";"1";"1";"s";"Parameter.DcCfg.StrTms[1]";"RW"
"Lado de CC";"Retardo de arranque entrada ";"1";"1";"s";"Parameter.DcCfg.StrTms[2]";"RW"
"Lado de CC";"Retardo de arranque entrada ";"1";"1";"s";"Parameter.DcCfg.StrTms[3]";"RW"
"Lado de CC";"Retardo de arranque entrada ";"1";"1";"s";"Parameter.DcCfg.StrTms[4]";"RW"
