"sep=;"
"Versión";"4";
"Idioma";"es-ES";
"Fecha de exportación local";"13.06.2022 08:18:43";
"Fecha de exportación UTC";"2022-06-13T06:18:43.623Z";
"Huso horario";"Europe/Madrid";
"Nombre de usuario";"mantenimiento@greeningingenieria.com";
"Nivel";"Equipo";
"Id. de la planta";"6294643";
"Nombre de la planta";"IFFCO";
"Id. del equipo";"6294652";
"Nombre del equipo";"Prima310A";
"Número de serie del equipo";"0";
"";"";
"Periodo";"Potencia toma [kW]";"Potencia de inyección a la red [W]"
"00:05";"36,88";"0"
"00:10";"36,96";"0"
"00:15";"37,21";"0"
"00:20";"37,23";"0"
"00:25";"36,86";"0"
"00:30";"39,89";"0"
"00:35";"41,3";"0"
"00:40";"36,71";"0"
"00:45";"36,86";"0"
"00:50";"37,07";"0"
"00:55";"36,69";"0"
"01:00";"36,68";"0"
"01:05";"36,74";"0"
"01:10";"37,56";"0"
"01:15";"36,85";"0"
"01:20";"36,52";"0"
"01:25";"36,69";"0"
"01:30";"36,57";"0"
"01:35";"36,58";"0"
"01:40";"36,27";"0"
"01:45";"36,4";"0"
"01:50";"36,31";"0"
"01:55";"36,58";"0"
"02:00";"38,42";"0"
"02:05";"38,83";"0"
"02:10";"37,27";"0"
"02:15";"37,03";"0"
"02:20";"36,62";"0"
"02:25";"36,59";"0"
"02:30";"36,47";"0"
"02:35";"38,08";"0"
"02:40";"40,96";"0"
"02:45";"40,74";"0"
"02:50";"41,75";"0"
"02:55";"40,39";"0"
"03:00";"37,09";"0"
"03:05";"36,49";"0"
"03:10";"36,7";"0"
"03:15";"38,26";"0"
"03:20";"39,69";"0"
"03:25";"39,94";"0"
"03:30";"40,26";"0"
"03:35";"39,11";"0"
"03:40";"39,08";"0"
"03:45";"39,39";"0"
"03:50";"37,74";"0"
"03:55";"27,61";"0"
"04:00";"35,46";"0"
"04:05";"36,93";"0"
"04:10";"26,71";"0"
"04:15";"29,6";"0"
"04:20";"38,63";"0"
"04:25";"27,72";"0"
"04:30";"34,35";"0"
"04:35";"28,19";"0"
"04:40";"25,77";"0"
"04:45";"34,11";"0"
"04:50";"23,87";"0"
"04:55";"31,36";"0"
"05:00";"29,84";"0"
"05:05";"24,7";"0"
"05:10";"35,72";"0"
"05:15";"25,28";"0"
"05:20";"30,75";"0"
"05:25";"29,27";"0"
"05:30";"23,79";"0"
"05:35";"34,48";"0"
"05:40";"25,4";"0"
"05:45";"27,91";"0"
"05:50";"32,51";"0"
"05:55";"25,54";"0"
"06:00";"33,58";"0"
"06:05";"27,86";"0"
"06:10";"25,94";"0"
"06:15";"34,33";"0"
"06:20";"24,79";"0"
"06:25";"30,3";"0"
"06:30";"31,03";"0"
"06:35";"23,9";"0"
"06:40";"35,45";"0"
"06:45";"26,95";"0"
"06:50";"26,61";"0"
"06:55";"34,96";"0"
"07:00";"24,46";"0"
"07:05";"28,45";"0"
"07:10";"24,64";"0"
"07:15";"18,97";"0"
"07:20";"26,95";"0"
"07:25";"20,13";"0"
"07:30";"16,44";"0"
"07:35";"22,6";"0"
"07:40";"12,13";"0"
"07:45";"18,04";"0"
"07:50";"14,33";"0"
"07:55";"6,75";"0"
"08:00";"16,13";"0"
"08:05";"5,69";"0"
"08:10";"2,91";"79"
"08:15";"7,62";"648"
"08:20";"0,4";"576"
"08:25";"2,14";"17"
"08:30";"0,42";"136"
"08:35";"0,6";"30"
"08:40";"1,56";"20"
"08:45";"0,57";"88"
"08:50";"2,2";"39"
"08:55";"1,88";"9"
"09:00";"0,59";"109"
"09:05";"1,63";"43"
"09:10";"0,73";"20"
"09:15";"0,63";"50"
"09:20";"1,68";"32"
